"Transaction ID","Date","Transaction Type","Currency","Amount","Fee","Net Amount","Asset Type","Asset Price","Asset Amount","Status","Notes","Name of sender/receiver","Account"
"pu98xe","2020-08-10 16:26:12 EDT","Bitcoin Sale","USD","$19.66","-$0.44","$19.22","BTC","$11,863.89","0.00165713","COMPLETED","sale of BTC 0.00165713","","Your Cash"
"1kjncz","2020-08-07 01:33:15 EDT","Bitcoin Buy","USD","-$19.55","-$0.45","-$20","BTC","$11,797.51","0.00165713","COMPLETED","purchase of BTC 0.00165713","","Your Cash"
